"CAMPAIGN_PERFORMANCE_REPORT (Apr 1, 2022-Apr 27, 2022)"
Click type,Impressions,Clicks,Cost,Conversions,Campaign,Campaign state,CTR,Day
Mixed,7558,60,24020000,8.00,Sales-Performance Max- 21feb2022,enabled,0.79%,2022-04-09
Mixed,4396,60,18040000,0.00,Sales-Performance Max- 21feb2022,enabled,1.36%,2022-04-08
Mixed,2355,73,27100000,1.00,Sales-Performance Max- 21feb2022,enabled,3.10%,2022-04-23
Mixed,1655,36,10780000,0.00,Sales-Performance Max- 21feb2022,enabled,2.18%,2022-04-24
Mixed,5375,91,29820000,6.00,Sales-Performance Max- 21feb2022,enabled,1.69%,2022-04-07
Mixed,6719,70,18390000,1.00,Sales-Performance Max- 21feb2022,enabled,1.04%,2022-04-11
Mixed,6860,82,24590000,2.00,Sales-Performance Max- 21feb2022,enabled,1.20%,2022-04-12
Mixed,4130,48,15100000,1.00,Sales-Performance Max- 21feb2022,enabled,1.16%,2022-04-13
Mixed,2134,25,7420000,0.00,Sales-Performance Max- 21feb2022,enabled,1.17%,2022-04-19
Mixed,1707,20,8860000,0.00,Sales-Performance Max- 21feb2022,enabled,1.17%,2022-04-25
Mixed,3875,54,16560000,3.00,Sales-Performance Max- 21feb2022,enabled,1.39%,2022-04-06
Mixed,2033,35,12960000,0.00,Sales-Performance Max- 21feb2022,enabled,1.72%,2022-04-22
Mixed,3959,40,14840000,0.00,Sales-Performance Max- 21feb2022,enabled,1.01%,2022-04-16
Mixed,1833,24,10990000,0.00,Sales-Performance Max- 21feb2022,enabled,1.31%,2022-04-26
Mixed,3298,42,12950000,1.00,Sales-Performance Max- 21feb2022,enabled,1.27%,2022-04-15
Mixed,7287,56,19500000,7.00,Sales-Performance Max- 21feb2022,enabled,0.77%,2022-04-01
Mixed,3170,37,12860000,1.00,Sales-Performance Max- 21feb2022,enabled,1.17%,2022-04-05
Mixed,2108,16,4850000,1.00,Sales-Performance Max- 21feb2022,enabled,0.76%,2022-04-21
Mixed,8845,60,19920000,4.00,Sales-Performance Max- 21feb2022,enabled,0.68%,2022-04-02
Mixed,6648,67,16500000,6.00,Sales-Performance Max- 21feb2022,enabled,1.01%,2022-04-10
Mixed,3696,44,15020000,2.00,Sales-Performance Max- 21feb2022,enabled,1.19%,2022-04-14
Mixed,2545,31,10970000,1.00,Sales-Performance Max- 21feb2022,enabled,1.22%,2022-04-17
Mixed,2837,39,11740000,4.00,Sales-Performance Max- 21feb2022,enabled,1.37%,2022-04-04
Mixed,2290,29,9310000,1.00,Sales-Performance Max- 21feb2022,enabled,1.27%,2022-04-20
Mixed,2465,19,4690000,0.00,Sales-Performance Max- 21feb2022,enabled,0.77%,2022-04-18
Mixed,2836,44,16640000,0.00,Sales-Performance Max- 21feb2022,enabled,1.55%,2022-04-27
Mixed,6351,47,12920000,4.00,Sales-Performance Max- 21feb2022,enabled,0.74%,2022-04-03
Total, --, --, --, --, --, --, --, --
