"CAMPAIGN_PERFORMANCE_REPORT (Apr 19, 2022-May 18, 2022)"
Campaign ID,Campaign,Campaign state,Impressions,Clicks,Cost,Conversions,Day,Device,Network,Top vs. Other,Currency,Cost / conv.,CTR,Avg. CPC,Conv. rate,Total conv. value,Avg. Cost,Avg. CPM,Network (with search partners)
16546502381,Sales-Performance Max-1,enabled,3413,92,8560000,7.00,2022-04-20,Mobile devices with full browsers,Cross-network,Cross-network,USD,1222857,2.70%,93043,7.61%,79.99,93043,2508057,Cross-network
16026513257,Search- lifesizecutout jan2022,enabled,29,4,5790000,0.00,2022-04-25,Mobile devices with full browsers,Search Network,Google search: Top,USD,0,13.79%,1447500,0.00%,0.00,1447500,199655172,Google search
16546502381,Sales-Performance Max-1,enabled,3230,62,4820000,13.40,2022-05-05,Mobile devices with full browsers,Cross-network,Cross-network,USD,359701,1.92%,77742,21.61%,343.46,77742,1492260,Cross-network
16026513257,Search- lifesizecutout jan2022,enabled,1,1,2790000,0.00,2022-05-08,Computers,Search Network,Google search: Top,USD,0,100.00%,2790000,0.00%,0.00,2790000,2790000000,Google search
16546502381,Sales-Performance Max-1,enabled,863,21,6340000,3.00,2022-05-08,Computers,Cross-network,Cross-network,USD,2113333,2.43%,301905,14.29%,79.99,301905,7346466,Cross-network
16546502381,Sales-Performance Max-1,enabled,2867,67,11200000,7.00,2022-05-06,Mobile devices with full browsers,Cross-network,Cross-network,USD,1600000,2.34%,167164,10.45%,159.98,167164,3906522,Cross-network
16026513257,Search- lifesizecutout jan2022,enabled,22,3,2620000,0.00,2022-04-20,Computers,Search Network,Google search: Top,USD,0,13.64%,873333,0.00%,0.00,873333,119090909,Google search
16026513257,Search- lifesizecutout jan2022,enabled,3,1,2350000,3.00,2022-05-08,Mobile devices with full browsers,Search Network,Google search: Top,USD,783333,33.33%,2350000,300.00%,77.83,2350000,783333333,Google search
16546502381,Sales-Performance Max-1,enabled,579,9,1450000,6.00,2022-04-30,Computers,Cross-network,Cross-network,USD,241667,1.55%,161111,66.67%,180.98,161111,2504318,Cross-network
16026513257,Search- lifesizecutout jan2022,enabled,22,1,330000,0.00,2022-04-19,Mobile devices with full browsers,Search Network,Google search: Other,USD,0,4.55%,330000,0.00%,0.00,330000,15000000,Google search
