"CAMPAIGN_PERFORMANCE_REPORT (Apr 20, 2022-May 19, 2022)"
Campaign ID,Campaign,Campaign state,Impressions,Clicks,Cost,Conversions,Day,Device,Network,Top vs. Other,Currency,Cost / conv.,CTR,Avg. CPC,Conv. rate,Total conv. value,Avg. Cost,Avg. CPM,Network (with search partners)
13665568211,home health services,enabled,98,10,28420000,3.00,2022-05-10,Mobile devices with full browsers,Search Network,Google search: Top,USD,9473333,10.20%,2842000,30.00%,0.00,2842000,290000000,Google search
13665568211,home health services,enabled,182,9,23720000,1.00,2022-05-02,Mobile devices with full browsers,Search Network,Google search: Top,USD,23720000,4.95%,2635556,11.11%,0.00,2635556,130329670,Google search
13665568211,home health services,enabled,62,10,29390000,1.00,2022-04-27,Mobile devices with full browsers,Search Network,Google search: Top,USD,29390000,16.13%,2939000,10.00%,1.00,2939000,474032258,Google search
13665568211,home health services,enabled,40,1,2970000,0.00,2022-05-05,Computers,Search Network,Google search: Other,USD,0,2.50%,2970000,0.00%,0.00,2970000,74250000,Google search
13665568211,home health services,enabled,28,2,6880000,0.00,2022-04-26,Mobile devices with full browsers,Search Network,Google search: Other,USD,0,7.14%,3440000,0.00%,0.00,3440000,245714286,Google search
13665568211,home health services,enabled,88,2,5600000,1.00,2022-04-20,Computers,Search Network,Google search: Other,USD,5600000,2.27%,2800000,50.00%,0.00,2800000,63636364,Google search
13665568211,home health services,enabled,21,2,5450000,0.00,2022-05-10,Mobile devices with full browsers,Search Network,Google search: Other,USD,0,9.52%,2725000,0.00%,0.00,2725000,259523810,Google search
13665568211,home health services,enabled,34,7,21920000,2.00,2022-04-25,Mobile devices with full browsers,Search Network,Google search: Top,USD,10960000,20.59%,3131429,28.57%,0.00,3131429,644705882,Google search
13665568211,home health services,enabled,8,1,910000,0.00,2022-05-08,Mobile devices with full browsers,Search Network,Google search: Other,USD,0,12.50%,910000,0.00%,0.00,910000,113750000,Google search
13665568211,home health services,enabled,16,2,6770000,0.00,2022-05-11,Mobile devices with full browsers,Search Network,Google search: Other,USD,0,12.50%,3385000,0.00%,0.00,3385000,423125000,Google search
13665568211,home health services,enabled,10,2,6290000,0.00,2022-04-30,Computers,Search Network,Google search: Top,USD,0,20.00%,3145000,0.00%,0.00,3145000,629000000,Google search
13665568211,home health services,enabled,10,0,0,0.00,2022-04-23,Computers,Search Network,Google search: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Google search
13665568211,home health services,enabled,9,0,0,0.00,2022-05-12,Mobile devices with full browsers,Search Network,Google search: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Google search
13665568211,home health services,enabled,1,0,0,0.00,2022-04-20,Tablets with full browsers,Search Network,Google search: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Google search
13665568211,home health services,enabled,11,1,3040000,0.00,2022-05-04,Computers,Search Network,Google search: Top,USD,0,9.09%,3040000,0.00%,0.00,3040000,276363636,Google search
13665568211,home health services,enabled,14,0,0,0.00,2022-05-18,Mobile devices with full browsers,Search Network,Google search: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Google search
13665568211,home health services,enabled,61,2,5760000,0.00,2022-05-02,Computers,Search Network,Google search: Other,USD,0,3.28%,2880000,0.00%,0.00,2880000,94426230,Google search
13665568211,home health services,enabled,14,0,0,0.00,2022-04-27,Computers,Search Network,Google search: Top,USD,0,0.00%,0,0.00%,0.00,0,0,Google search
13665568211,home health services,enabled,3,0,0,0.00,2022-04-25,Mobile devices with full browsers,Search Network,Google search: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Google search
13665568211,home health services,enabled,20,1,2870000,0.00,2022-05-06,Computers,Search Network,Google search: Top,USD,0,5.00%,2870000,0.00%,0.00,2870000,143500000,Google search
13665568211,home health services,enabled,7,0,0,0.00,2022-05-16,Tablets with full browsers,Search Network,Google search: Top,USD,0,0.00%,0,0.00%,0.00,0,0,Google search
13665568211,home health services,enabled,9,0,0,0.00,2022-04-23,Mobile devices with full browsers,Search Network,Google search: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Google search
13665568211,home health services,enabled,20,0,0,0.00,2022-05-13,Mobile devices with full browsers,Search Network,Google search: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Google search
13665568211,home health services,enabled,1,0,0,0.00,2022-05-11,Tablets with full browsers,Search Network,Google search: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Google search
13665568211,home health services,enabled,15,1,3460000,0.00,2022-05-17,Computers,Search Network,Google search: Top,USD,0,6.67%,3460000,0.00%,0.00,3460000,230666667,Google search
13665568211,home health services,enabled,17,1,2220000,0.00,2022-04-24,Computers,Search Network,Google search: Top,USD,0,5.88%,2220000,0.00%,0.00,2220000,130588235,Google search
13665568211,home health services,enabled,8,0,0,0.00,2022-04-20,Tablets with full browsers,Search Network,Google search: Top,USD,0,0.00%,0,0.00%,0.00,0,0,Google search
13665568211,home health services,enabled,12,1,3340000,0.00,2022-05-19,Tablets with full browsers,Search Network,Google search: Top,USD,0,8.33%,3340000,0.00%,0.00,3340000,278333333,Google search
13665568211,home health services,enabled,1,0,0,0.00,2022-05-03,Tablets with full browsers,Search Network,Google search: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Google search
13665568211,home health services,enabled,9,0,0,0.00,2022-05-14,Tablets with full browsers,Search Network,Google search: Top,USD,0,0.00%,0,0.00%,0.00,0,0,Google search
13665568211,home health services,enabled,6,1,2970000,0.00,2022-04-23,Tablets with full browsers,Search Network,Google search: Top,USD,0,16.67%,2970000,0.00%,0.00,2970000,495000000,Google search
13665568211,home health services,enabled,11,0,0,0.00,2022-05-07,Mobile devices with full browsers,Search Network,Google search: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Google search
13665568211,home health services,enabled,10,0,0,0.00,2022-04-30,Computers,Search Network,Google search: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Google search
13665568211,home health services,enabled,1,0,0,0.00,2022-05-15,Tablets with full browsers,Search Network,Google search: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Google search
13665568211,home health services,enabled,10,0,0,0.00,2022-05-06,Mobile devices with full browsers,Search Network,Google search: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Google search
13665568211,home health services,enabled,14,0,0,0.00,2022-05-15,Computers,Search Network,Google search: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Google search
13665568211,home health services,enabled,2,0,0,0.00,2022-05-07,Tablets with full browsers,Search Network,Google search: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Google search
13665568211,home health services,enabled,19,1,2810000,0.00,2022-05-18,Computers,Search Network,Google search: Other,USD,0,5.26%,2810000,0.00%,0.00,2810000,147894737,Google search
13665568211,home health services,enabled,4,2,5920000,0.00,2022-05-09,Tablets with full browsers,Search Network,Google search: Top,USD,0,50.00%,2960000,0.00%,0.00,2960000,1480000000,Google search
13665568211,home health services,enabled,19,5,14430000,0.00,2022-05-05,Computers,Search Network,Google search: Top,USD,0,26.32%,2886000,0.00%,0.00,2886000,759473684,Google search
13665568211,home health services,enabled,22,3,8640000,0.00,2022-05-03,Computers,Search Network,Google search: Top,USD,0,13.64%,2880000,0.00%,0.00,2880000,392727273,Google search
13665568211,home health services,enabled,13,0,0,0.00,2022-04-28,Computers,Search Network,Google search: Top,USD,0,0.00%,0,0.00%,0.00,0,0,Google search
13665568211,home health services,enabled,6,0,0,0.00,2022-05-02,Tablets with full browsers,Search Network,Google search: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Google search
13665568211,home health services,enabled,1,0,0,0.00,2022-05-17,Tablets with full browsers,Search Network,Google search: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Google search
13665568211,home health services,enabled,29,0,0,0.00,2022-05-07,Computers,Search Network,Google search: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Google search
13665568211,home health services,enabled,71,8,24580000,0.00,2022-05-12,Mobile devices with full browsers,Search Network,Google search: Top,USD,0,11.27%,3072500,0.00%,0.00,3072500,346197183,Google search
13665568211,home health services,enabled,182,7,20270000,0.00,2022-04-21,Mobile devices with full browsers,Search Network,Google search: Top,USD,0,3.85%,2895714,0.00%,0.00,2895714,111373626,Google search
13665568211,home health services,enabled,16,0,0,0.00,2022-04-24,Mobile devices with full browsers,Search Network,Google search: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Google search
13665568211,home health services,enabled,4,1,940000,0.00,2022-04-24,Tablets with full browsers,Search Network,Google search: Other,USD,0,25.00%,940000,0.00%,0.00,940000,235000000,Google search
13665568211,home health services,enabled,27,0,0,0.00,2022-05-10,Computers,Search Network,Google search: Top,USD,0,0.00%,0,0.00%,0.00,0,0,Google search
13665568211,home health services,enabled,47,1,2640000,0.00,2022-05-02,Computers,Search Network,Google search: Top,USD,0,2.13%,2640000,0.00%,0.00,2640000,56170213,Google search
