"CAMPAIGN_PERFORMANCE_REPORT (May 1, 2022-May 23, 2022)"
Campaign ID,Campaign,Impressions,Clicks,Cost,Conversions,Day,Device,Network,Top vs. Other,Currency,Cost / conv.,CTR,Avg. CPC,Conv. rate,Total conv. value,Avg. Cost,Avg. CPM,Network (with search partners),All conv.
16387004532,LUDS Afterglow Tan Display-Feb 2022,49,3,1002075,0.00,2022-05-09,Tablets with full browsers,Display Network,Google Display Network,USD,0,6.12%,334025,0.00%,0.00,334025,20450510,Display Network,0.00
16387004532,LUDS Afterglow Tan Display-Feb 2022,105,2,1390220,0.00,2022-05-02,Tablets with full browsers,Display Network,Google Display Network,USD,0,1.90%,695110,0.00%,0.00,695110,13240190,Display Network,0.00
16387004532,LUDS Afterglow Tan Display-Feb 2022,2,0,0,0.00,2022-05-02,Devices streaming video content to TV screens,Display Network,Google Display Network,USD,0,0.00%,0,0.00%,0.00,0,0,Display Network,0.00
16387004532,LUDS Afterglow Tan Display-Feb 2022,67,1,403505,0.00,2022-05-19,Tablets with full browsers,Display Network,Google Display Network,USD,0,1.49%,403505,0.00%,0.00,403505,6022463,Display Network,0.00
16286033195,LUDS Afterglow Tanning - Search Feb 2022,5,0,0,0.00,2022-05-07,Computers,Search Network,Google search: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Google search,0.00
16387004532,LUDS Afterglow Tan Display-Feb 2022,274,6,2592958,0.00,2022-05-16,Tablets with full browsers,Display Network,Google Display Network,USD,0,2.19%,432160,0.00%,0.00,432160,9463350,Display Network,0.00
16387004532,LUDS Afterglow Tan Display-Feb 2022,418,1,876256,0.00,2022-05-23,Computers,Display Network,Google Display Network,USD,0,0.24%,876256,0.00%,0.00,876256,2096306,Display Network,0.00
16286033195,LUDS Afterglow Tanning - Search Feb 2022,36,7,10240000,0.00,2022-05-02,Mobile devices with full browsers,Search Network,Google search: Top,USD,0,19.44%,1462857,0.00%,0.00,1462857,284444444,Google search,0.00
16286033195,LUDS Afterglow Tanning - Search Feb 2022,2,1,1860000,0.00,2022-05-15,Computers,Search Network,Google search: Top,USD,0,50.00%,1860000,0.00%,0.00,1860000,930000000,Google search,0.00
16387004532,LUDS Afterglow Tan Display-Feb 2022,44,4,1942759,0.00,2022-05-10,Tablets with full browsers,Display Network,Google Display Network,USD,0,9.09%,485690,0.00%,0.00,485690,44153614,Display Network,0.00
16387004532,LUDS Afterglow Tan Display-Feb 2022,56,0,0,0.00,2022-05-20,Tablets with full browsers,Display Network,Google Display Network,USD,0,0.00%,0,0.00%,0.00,0,0,Display Network,0.00
16286033195,LUDS Afterglow Tanning - Search Feb 2022,15,0,0,0.00,2022-05-16,Mobile devices with full browsers,Search Network,Google search: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Google search,0.00
16286033195,LUDS Afterglow Tanning - Search Feb 2022,4,2,3700000,0.00,2022-05-17,Computers,Search Network,Google search: Top,USD,0,50.00%,1850000,0.00%,0.00,1850000,925000000,Google search,0.00
16387004532,LUDS Afterglow Tan Display-Feb 2022,182,1,560209,0.00,2022-05-11,Computers,Display Network,Google Display Network,USD,0,0.55%,560209,0.00%,0.00,560209,3078071,Display Network,0.00
16286033195,LUDS Afterglow Tanning - Search Feb 2022,3,0,0,0.00,2022-05-03,Tablets with full browsers,Search Network,Google search: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Google search,0.00
16387004532,LUDS Afterglow Tan Display-Feb 2022,123,3,689467,0.00,2022-05-18,Mobile devices with full browsers,Display Network,Google Display Network,USD,0,2.44%,229822,0.00%,0.00,229822,5605423,Display Network,0.00
16387004532,LUDS Afterglow Tan Display-Feb 2022,850,4,3232581,0.00,2022-05-20,Computers,Display Network,Google Display Network,USD,0,0.47%,808145,0.00%,0.00,808145,3803036,Display Network,0.00
16286033195,LUDS Afterglow Tanning - Search Feb 2022,1,0,0,0.00,2022-05-10,Tablets with full browsers,Search Network,Google search: Top,USD,0,0.00%,0,0.00%,0.00,0,0,Google search,0.00
16286033195,LUDS Afterglow Tanning - Search Feb 2022,5,0,0,0.00,2022-05-07,Mobile devices with full browsers,Search Network,Google search: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Google search,0.00
16387004532,LUDS Afterglow Tan Display-Feb 2022,270,7,3277726,0.00,2022-05-06,Mobile devices with full browsers,Display Network,Google Display Network,USD,0,2.59%,468247,0.00%,0.00,468247,12139726,Display Network,0.00
16286033195,LUDS Afterglow Tanning - Search Feb 2022,12,0,0,0.00,2022-05-05,Computers,Search Network,Google search: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Google search,0.00
16286033195,LUDS Afterglow Tanning - Search Feb 2022,12,1,1910000,0.00,2022-05-01,Computers,Search Network,Google search: Other,USD,0,8.33%,1910000,0.00%,0.00,1910000,159166667,Google search,0.00
16387004532,LUDS Afterglow Tan Display-Feb 2022,1,0,0,0.00,2022-05-01,Devices streaming video content to TV screens,Display Network,Google Display Network,USD,0,0.00%,0,0.00%,0.00,0,0,Display Network,0.00
16286033195,LUDS Afterglow Tanning - Search Feb 2022,6,0,0,0.00,2022-05-02,Mobile devices with full browsers,Search Network,Google search: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Google search,0.00
16387004532,LUDS Afterglow Tan Display-Feb 2022,179,2,891924,0.00,2022-05-05,Mobile devices with full browsers,Display Network,Google Display Network,USD,0,1.12%,445962,0.00%,0.00,445962,4982816,Display Network,0.00
16387004532,LUDS Afterglow Tan Display-Feb 2022,1,0,0,0.00,2022-05-06,Devices streaming video content to TV screens,Display Network,Google Display Network,USD,0,0.00%,0,0.00%,0.00,0,0,Display Network,0.00
16286033195,LUDS Afterglow Tanning - Search Feb 2022,6,0,0,0.00,2022-05-12,Mobile devices with full browsers,Search Network,Google search: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Google search,0.00
