"CAMPAIGN_PERFORMANCE_REPORT (Apr 1, 2022-Apr 30, 2022)"
Click type,Impressions,Clicks,Cost,Conversions,Campaign,Campaign state,CTR,Day
Sitelink,24,2,5610000,0.00,sink-Search-march-2022,paused,8.33%,2022-04-12
Sitelink,1,0,0,0.00,sink-Search-march-2022,paused,0.00%,2022-04-02
Mixed,799,5,2490000,0.00,Sales-Performance Max,paused,0.63%,2022-04-01
Mixed,1410,11,10300000,0.00,Sales-Performance Max,paused,0.78%,2022-04-26
Sitelink,34,1,2970000,0.00,ADA,paused,2.94%,2022-04-25
Mixed,1230,8,6930000,0.00,Sales-Performance Max,paused,0.65%,2022-04-08
Mixed,913,11,6290000,0.00,Sales-Performance Max,paused,1.20%,2022-04-13
Headline,15,2,2480000,0.00,ADA,paused,13.33%,2022-04-26
Mixed,1,0,0,0.00,Sales-Performance Max,paused,0.00%,2022-04-05
Headline,91,9,54010000,0.00,ADA,paused,9.89%,2022-04-24
Mixed,1209,13,8540000,0.00,Sales-Performance Max,paused,1.08%,2022-04-09
Mixed,320,0,0,0.00,Sales-Performance Max,paused,0.00%,2022-04-27
Mixed,1116,6,3390000,0.00,Sales-Performance Max,paused,0.54%,2022-04-07
Mixed,791,6,3630000,0.00,Sales-Performance Max,paused,0.76%,2022-04-11
Headline,37,6,22960000,0.00,ADA,paused,16.22%,2022-04-22
Sitelink,62,0,0,0.00,ADA,paused,0.00%,2022-04-23
Mixed,826,14,5400000,0.00,Sales-Performance Max,paused,1.69%,2022-04-10
Sitelink,8,0,0,0.00,ADA,paused,0.00%,2022-04-26
Mixed,78,0,0,0.00,Sales-Performance Max,paused,0.00%,2022-04-14
Mixed,885,8,4300000,0.00,Sales-Performance Max,paused,0.90%,2022-04-12
Mixed,1033,8,5450000,0.00,Sales-Performance Max,paused,0.77%,2022-04-02
Sitelink,77,1,5650000,0.00,ADA,paused,1.30%,2022-04-24
Sitelink,27,2,6040000,0.00,ADA,paused,7.41%,2022-04-22
Mixed,1512,11,15500000,0.00,Sales-Performance Max,paused,0.73%,2022-04-04
Headline,42,5,33060000,0.00,ADA,paused,11.90%,2022-04-25
Mixed,861,10,4470000,0.00,Sales-Performance Max,paused,1.16%,2022-04-03
Headline,86,6,29380000,0.00,ADA,paused,6.98%,2022-04-23
Headline,17,2,1190000,0.00,ADA,paused,11.76%,2022-04-21
Total, --, --, --, --, --, --, --, --
