"CAMPAIGN_PERFORMANCE_REPORT (Apr 1, 2022-Apr 30, 2022)"
Click type,Impressions,Clicks,Cost,Conversions,Campaign,Campaign state,CTR,Day
Shopping ad - Standard,15480,164,179350000,4.00,Kralsu - 8 J,paused,1.06%,2022-04-30
Shopping ad - Standard,18476,145,99728641,1.00,Kralsu - 8 J,paused,0.78%,2022-04-10
Headline,7,0,0,0.00,Kralsu - 8 J,paused,0.00%,2022-04-04
Headline,44,0,0,0.00,Kralsu - 8 J,paused,0.00%,2022-04-09
Sitelink,28,3,5380000,0.00,sink-Search-march-2022,paused,10.71%,2022-04-13
Headline,3875,3,13152192,0.00,sink-Search-march-2022,paused,0.08%,2022-04-02
Sitelink,1,0,0,0.00,sink-Search-march-2022,paused,0.00%,2022-04-21
Headline,420,2,1543770,0.00,sink-Search-march-2022,paused,0.48%,2022-04-16
Phone calls,32,0,0,0.00,sink-Search-march-2022,paused,0.00%,2022-04-14
Headline,1,0,0,0.00,Kralsu - 8 J,paused,0.00%,2022-04-18
Headline,62,9,946121,0.00,Kralsu - 8 J,paused,14.52%,2022-04-05
Headline,16,0,0,0.00,Kralsu - 8 J,paused,0.00%,2022-04-22
Phone calls,10,0,0,0.00,sink-Search-march-2022,paused,0.00%,2022-04-18
Headline,31,3,620607,1.00,Kralsu - 8 J,paused,9.68%,2022-04-17
Shopping ad - Standard,10917,95,110084462,0.00,Kralsu - 8 J,paused,0.87%,2022-04-28
Phone calls,11,0,0,0.00,sink-Search-march-2022,paused,0.00%,2022-04-09
Phone calls,6,0,0,0.00,sink-Search-march-2022,paused,0.00%,2022-04-16
Image extension,14,0,0,0.00,sink-Search-march-2022,paused,0.00%,2022-04-15
Shopping ad - Standard,1518,17,6206419,0.00,Kralsu - 8 J,paused,1.12%,2022-04-18
Headline,386,0,0,0.00,sink-Search-march-2022,paused,0.00%,2022-04-18
Shopping ad - Standard,21833,257,74017120,2.00,Kralsu - 8 J,paused,1.18%,2022-04-17
Shopping ad - Standard,12307,128,162025222,0.60,Kralsu - 8 J,paused,1.04%,2022-04-29
Shopping ad - Standard,9052,87,94429139,1.00,Kralsu - 8 J,paused,0.96%,2022-04-03
Image extension,13,0,0,0.00,sink-Search-march-2022,paused,0.00%,2022-04-11
Headline,5959,15,6913006,0.00,sink-Search-march-2022,paused,0.25%,2022-04-06
Sitelink,20,4,15070000,0.00,sink-Search-march-2022,paused,20.00%,2022-04-09
Headline,157,3,5550000,0.00,sink-Search-march-2022,paused,1.91%,2022-04-20
Headline,2124,16,9980576,0.00,sink-Search-march-2022,paused,0.75%,2022-04-10
Shopping ad - Standard,2122,20,12520000,0.00,Kralsu - 8 J,paused,0.94%,2022-04-25
Sitelink,4,0,0,0.00,sink-Search-march-2022,paused,0.00%,2022-04-10
Headline,91,13,11177198,0.00,Kralsu - 8 J,paused,14.29%,2022-04-14
Shopping ad - Standard,9485,119,103854991,1.00,Kralsu - 8 J,paused,1.25%,2022-04-02
Phone calls,9,1,16080000,1.00,sink-Search-march-2022,paused,11.11%,2022-04-06
Phone calls,24,1,2530000,1.00,sink-Search-march-2022,paused,4.17%,2022-04-05
Shopping ad - Standard,12110,107,121766675,1.00,Kralsu - 8 J,paused,0.88%,2022-04-04
Phone calls,19,1,3550000,0.00,sink-Search-march-2022,paused,5.26%,2022-04-19
Sitelink,9,1,2880000,0.00,sink-Search-march-2022,paused,11.11%,2022-04-16
Headline,5,2,500194,0.00,Kralsu - 8 J,paused,40.00%,2022-04-27
Shopping ad - Standard,27152,236,148590955,0.00,Kralsu - 8 J,paused,0.87%,2022-04-09
Phone calls,11,1,4150000,0.00,sink-Search-march-2022,paused,9.09%,2022-04-11
Image extension,21,0,0,0.00,sink-Search-march-2022,paused,0.00%,2022-04-18
Shopping ad - Standard,3083,43,29139618,0.00,Kralsu - 8 J,paused,1.39%,2022-04-22
Shopping ad - Standard,40,0,0,0.00,Kralsu - 8 J,paused,0.00%,2022-04-26
Headline,13,3,845791,0.00,Kralsu - 8 J,paused,23.08%,2022-04-29
Headline,2537,4,12916528,0.00,sink-Search-march-2022,paused,0.16%,2022-04-05
Image extension,11,1,1120000,0.00,sink-Search-march-2022,paused,9.09%,2022-04-13
Shopping ad - Standard,19005,295,178667419,1.40,Kralsu - 8 J,paused,1.55%,2022-04-06
Headline,12,1,47166,0.00,Kralsu - 8 J,paused,8.33%,2022-04-11
Shopping ad - Standard,9572,109,77586427,0.00,Kralsu - 8 J,paused,1.14%,2022-04-12
Headline,777,5,12924686,0.00,sink-Search-march-2022,paused,0.64%,2022-04-04
Headline,316,1,2217286,0.00,sink-Search-march-2022,paused,0.32%,2022-04-01
Headline,9,0,0,0.00,Kralsu - 8 J,paused,0.00%,2022-04-28
Headline,435,4,5841046,0.00,sink-Search-march-2022,paused,0.92%,2022-04-14
Headline,6,1,118573,0.00,Kralsu - 8 J,paused,16.67%,2022-04-03
Headline,14,0,0,0.00,Kralsu - 8 J,paused,0.00%,2022-04-12
Headline,9,0,0,0.00,sink-Search-march-2022,paused,0.00%,2022-04-21
Headline,27,3,1164508,0.00,Kralsu - 8 J,paused,11.11%,2022-04-10
Shopping ad - Standard,2860,37,39031007,0.00,Kralsu - 8 J,paused,1.29%,2022-04-19
Phone calls,9,0,0,0.00,sink-Search-march-2022,paused,0.00%,2022-04-20
Phone calls,12,0,0,0.00,sink-Search-march-2022,paused,0.00%,2022-04-13
Image extension,27,0,0,0.00,sink-Search-march-2022,paused,0.00%,2022-04-14
Image extension,7,0,0,0.00,sink-Search-march-2022,paused,0.00%,2022-04-09
Headline,1,0,0,0.00,Kralsu - 8 J,paused,0.00%,2022-04-25
Headline,1251,9,10066222,0.00,sink-Search-march-2022,paused,0.72%,2022-04-07
Image extension,8,0,0,0.00,sink-Search-march-2022,paused,0.00%,2022-04-16
Shopping ad - Standard,2002,19,15431486,0.00,Kralsu - 8 J,paused,0.95%,2022-04-16
Headline,1,0,0,0.00,Kralsu - 8 J,paused,0.00%,2022-04-19
Sitelink,7,0,0,0.00,sink-Search-march-2022,paused,0.00%,2022-04-06
Image extension,12,0,0,0.00,sink-Search-march-2022,paused,0.00%,2022-04-12
Image extension,20,2,3000000,0.00,sink-Search-march-2022,paused,10.00%,2022-04-07
Sitelink,14,3,5930000,0.00,sink-Search-march-2022,paused,21.43%,2022-04-20
Headline,356,3,3661736,0.00,sink-Search-march-2022,paused,0.84%,2022-04-19
Headline,34,0,0,0.00,sink-Search-march-2022,paused,0.00%,2022-04-09
Shopping ad - Standard,10484,93,85276603,0.00,Kralsu - 8 J,paused,0.89%,2022-04-08
Headline,2,1,25204,0.00,Kralsu - 8 J,paused,50.00%,2022-04-08
Headline,1516,11,12553680,0.00,sink-Search-march-2022,paused,0.73%,2022-04-11
Headline,40,5,3423074,0.00,Kralsu - 8 J,paused,12.50%,2022-04-13
Shopping ad - Standard,27135,300,228366017,0.00,Kralsu - 8 J,paused,1.11%,2022-04-14
Headline,3,1,42433,0.00,Kralsu - 8 J,paused,33.33%,2022-04-24
Shopping ad - Standard,2035,22,17690000,0.00,Kralsu - 8 J,paused,1.08%,2022-04-23
Sitelink,18,1,1470000,0.00,sink-Search-march-2022,paused,5.56%,2022-04-11
Image extension,19,0,0,0.00,sink-Search-march-2022,paused,0.00%,2022-04-19
Shopping ad - Standard,9228,83,104549037,0.00,Kralsu - 8 J,paused,0.90%,2022-04-27
Shopping ad - Standard,2427,30,20516024,0.00,Kralsu - 8 J,paused,1.24%,2022-04-20
Sitelink,36,1,4840000,0.00,sink-Search-march-2022,paused,2.78%,2022-04-19
Shopping ad - Standard,1567,26,17340000,0.00,Kralsu - 8 J,paused,1.66%,2022-04-24
Headline,35,2,1168761,0.00,Kralsu - 8 J,paused,5.71%,2022-04-15
Phone calls,23,1,13240000,0.00,sink-Search-march-2022,paused,4.35%,2022-04-08
Shopping ad - Standard,27401,378,251130500,1.00,Kralsu - 8 J,paused,1.38%,2022-04-13
Phone calls,25,2,14640000,1.00,sink-Search-march-2022,paused,8.00%,2022-04-04
Image extension,7,0,0,0.00,sink-Search-march-2022,paused,0.00%,2022-04-20
Image extension,20,0,0,0.00,sink-Search-march-2022,paused,0.00%,2022-04-08
Headline,2,1,267018,0.00,Kralsu - 8 J,paused,50.00%,2022-04-02
Sitelink,27,2,3600000,0.00,sink-Search-march-2022,paused,7.41%,2022-04-05
Sitelink,3,0,0,0.00,sink-Search-march-2022,paused,0.00%,2022-04-17
Headline,439,3,4302839,0.00,sink-Search-march-2022,paused,0.68%,2022-04-15
Shopping ad - Standard,11664,144,185457701,0.00,Kralsu - 8 J,paused,1.23%,2022-04-21
Headline,41,11,1857233,0.00,Kralsu - 8 J,paused,26.83%,2022-04-06
Shopping ad - Standard,11894,169,70653833,0.00,Kralsu - 8 J,paused,1.42%,2022-04-15
Sitelink,33,0,0,0.00,sink-Search-march-2022,paused,0.00%,2022-04-07
Headline,1598,2,7811371,0.00,sink-Search-march-2022,paused,0.13%,2022-04-03
Shopping ad - Standard,6500,72,88439042,0.00,Kralsu - 8 J,paused,1.11%,2022-04-01
Sitelink,29,7,29400000,0.00,sink-Search-march-2022,paused,24.14%,2022-04-18
Phone calls,13,1,8030000,0.00,sink-Search-march-2022,paused,7.69%,2022-04-12
Headline,2744,15,8315895,0.00,sink-Search-march-2022,paused,0.55%,2022-04-17
Headline,36,15,3506346,0.00,Kralsu - 8 J,paused,41.67%,2022-04-07
Headline,84,4,4285965,0.00,sink-Search-march-2022,paused,4.76%,2022-04-08
Sitelink,43,2,8440000,0.00,sink-Search-march-2022,paused,4.65%,2022-04-14
Phone calls,29,0,0,0.00,sink-Search-march-2022,paused,0.00%,2022-04-15
Phone calls,3,1,3830000,0.00,sink-Search-march-2022,paused,33.33%,2022-04-17
Headline,6,0,0,0.00,Kralsu - 8 J,paused,0.00%,2022-04-20
Phone calls,13,0,0,0.00,sink-Search-march-2022,paused,0.00%,2022-04-07
Shopping ad - Standard,19794,187,227407802,1.00,Kralsu - 8 J,paused,0.94%,2022-04-05
Shopping ad - Standard,36563,714,317672378,1.00,Kralsu - 8 J,paused,1.95%,2022-04-07
Shopping ad - Standard,8531,97,81239023,1.00,Kralsu - 8 J,paused,1.14%,2022-04-11
Image extension,8,0,0,0.00,sink-Search-march-2022,paused,0.00%,2022-04-10
Headline,564,4,5019848,0.00,sink-Search-march-2022,paused,0.71%,2022-04-12
Phone calls,1,0,0,0.00,sink-Search-march-2022,paused,0.00%,2022-04-21
Sitelink,34,0,0,0.00,sink-Search-march-2022,paused,0.00%,2022-04-04
Headline,124,4,682803,0.00,Kralsu - 8 J,paused,3.23%,2022-04-21
Sitelink,45,2,3900000,0.00,sink-Search-march-2022,paused,4.44%,2022-04-08
Phone calls,2,0,0,0.00,sink-Search-march-2022,paused,0.00%,2022-04-10
Headline,521,7,9836695,0.00,sink-Search-march-2022,paused,1.34%,2022-04-13
Sitelink,33,6,10980000,0.00,sink-Search-march-2022,paused,18.18%,2022-04-15
