"CAMPAIGN_PERFORMANCE_REPORT (Mar 1, 2022-Mar 31, 2022)"
Campaign ID,Campaign,Impressions,Clicks,Cost,Conversions,Day,Device,Network,Top vs. Other,Currency,Cost / conv.,CTR,Avg. CPC,Conv. rate,Total conv. value,Avg. Cost,Avg. CPM,Network (with search partners),All conv.
16485662623,Campaign for 341163 (Shopify - Luis),151,0,0,0.00,2022-03-15,Tablets with full browsers,Cross-network,Cross-network,GBP,0,0.00%,0,0.00%,0.00,0,0,Cross-network,0.00
16334583574,Sales-Performance Max- 21feb2022,111,1,260000,0.00,2022-03-03,Tablets with full browsers,Cross-network,Cross-network,GBP,0,0.90%,260000,0.00%,0.00,260000,2342342,Cross-network,0.00
16334583574,Sales-Performance Max- 21feb2022,66,0,0,0.00,2022-03-28,Tablets with full browsers,Cross-network,Cross-network,GBP,0,0.00%,0,0.00%,0.00,0,0,Cross-network,0.00
16485662623,Campaign for 341163 (Shopify - Luis),32,0,0,0.00,2022-03-16,Tablets with full browsers,Cross-network,Cross-network,GBP,0,0.00%,0,0.00%,0.00,0,0,Cross-network,0.00
16334583574,Sales-Performance Max- 21feb2022,13,0,0,0.00,2022-03-04,Tablets with full browsers,Cross-network,Cross-network,GBP,0,0.00%,0,0.00%,0.00,0,0,Cross-network,0.00
16334583574,Sales-Performance Max- 21feb2022,19,0,0,0.00,2022-03-11,Tablets with full browsers,Cross-network,Cross-network,GBP,0,0.00%,0,0.00%,0.00,0,0,Cross-network,0.00
16334583574,Sales-Performance Max- 21feb2022,1837,17,9690000,2.00,2022-03-01,Computers,Cross-network,Cross-network,GBP,4845000,0.93%,570000,11.76%,1.49,570000,5274905,Cross-network,3.00
16485662623,Campaign for 341163 (Shopify - Luis),603,7,7060000,0.00,2022-03-07,Computers,Cross-network,Cross-network,GBP,0,1.16%,1008571,0.00%,0.00,1008571,11708126,Cross-network,18.00
16334583574,Sales-Performance Max- 21feb2022,565,26,18180000,2.00,2022-03-11,Mobile devices with full browsers,Cross-network,Cross-network,GBP,9090000,4.60%,699231,7.69%,23.71,699231,32176991,Cross-network,215.00
16485662623,Campaign for 341163 (Shopify - Luis),695,4,1600000,2.00,2022-03-13,Computers,Cross-network,Cross-network,GBP,800000,0.58%,400000,50.00%,40.72,400000,2302158,Cross-network,9.00
16334583574,Sales-Performance Max- 21feb2022,129,10,8240000,0.00,2022-03-18,Computers,Cross-network,Cross-network,GBP,0,7.75%,824000,0.00%,0.00,824000,63875969,Cross-network,21.00
16334583574,Sales-Performance Max- 21feb2022,99,12,7150000,1.00,2022-03-19,Computers,Cross-network,Cross-network,GBP,7150000,12.12%,595833,8.33%,0.00,595833,72222222,Cross-network,39.00
16334583574,Sales-Performance Max- 21feb2022,405,24,11640000,1.00,2022-03-19,Mobile devices with full browsers,Cross-network,Cross-network,GBP,11640000,5.93%,485000,4.17%,0.76,485000,28740741,Cross-network,75.00
16334583574,Sales-Performance Max- 21feb2022,693,53,23060000,2.00,2022-03-25,Mobile devices with full browsers,Cross-network,Cross-network,GBP,11530000,7.65%,435094,3.77%,46.66,435094,33275613,Cross-network,197.00
16334583574,Sales-Performance Max- 21feb2022,2139,49,18870000,0.00,2022-03-28,Mobile devices with full browsers,Cross-network,Cross-network,GBP,0,2.29%,385102,0.00%,0.00,385102,8821879,Cross-network,125.00
16334583574,Sales-Performance Max- 21feb2022,675,13,9540000,0.00,2022-03-10,Mobile devices with full browsers,Cross-network,Cross-network,GBP,0,1.93%,733846,0.00%,0.00,733846,14133333,Cross-network,59.00
16334583574,Sales-Performance Max- 21feb2022,129,6,4140000,0.00,2022-03-15,Computers,Cross-network,Cross-network,GBP,0,4.65%,690000,0.00%,0.00,690000,32093023,Cross-network,60.00
16485662623,Campaign for 341163 (Shopify - Luis),951,6,2360000,2.00,2022-03-15,Computers,Cross-network,Cross-network,GBP,1180000,0.63%,393333,33.33%,36.72,393333,2481598,Cross-network,24.00
16334583574,Sales-Performance Max- 21feb2022,294,27,18680000,0.00,2022-03-16,Mobile devices with full browsers,Cross-network,Cross-network,GBP,0,9.18%,691852,0.00%,0.00,691852,63537415,Cross-network,70.00
16334583574,Sales-Performance Max- 21feb2022,590,33,14300000,0.00,2022-03-24,Mobile devices with full browsers,Cross-network,Cross-network,GBP,0,5.59%,433333,0.00%,0.00,433333,24237288,Cross-network,137.00
16334583574,Sales-Performance Max- 21feb2022,749,33,13200000,0.00,2022-03-27,Mobile devices with full browsers,Cross-network,Cross-network,GBP,0,4.41%,400000,0.00%,0.00,400000,17623498,Cross-network,98.00
16334583574,Sales-Performance Max- 21feb2022,5856,43,13640000,0.00,2022-03-30,Mobile devices with full browsers,Cross-network,Cross-network,GBP,0,0.73%,317209,0.00%,0.00,317209,2329235,Cross-network,130.00
16334583574,Sales-Performance Max- 21feb2022,2674,40,14970000,4.00,2022-03-03,Mobile devices with full browsers,Cross-network,Cross-network,GBP,3742500,1.50%,374250,10.00%,3.01,374250,5598355,Cross-network,34.00
16334583574,Sales-Performance Max- 21feb2022,63,2,780000,0.00,2022-03-10,Tablets with full browsers,Cross-network,Cross-network,GBP,0,3.17%,390000,0.00%,0.00,390000,12380952,Cross-network,7.00
16334583574,Sales-Performance Max- 21feb2022,298,18,9420000,0.00,2022-03-14,Mobile devices with full browsers,Cross-network,Cross-network,GBP,0,6.04%,523333,0.00%,0.00,523333,31610738,Cross-network,74.00
16485662623,Campaign for 341163 (Shopify - Luis),663,3,1540000,0.00,2022-03-16,Mobile devices with full browsers,Cross-network,Cross-network,GBP,0,0.45%,513333,0.00%,0.00,513333,2322775,Cross-network,19.00
16334583574,Sales-Performance Max- 21feb2022,128,7,8700000,0.00,2022-03-20,Computers,Cross-network,Cross-network,GBP,0,5.47%,1242857,0.00%,0.00,1242857,67968750,Cross-network,38.00
16334583574,Sales-Performance Max- 21feb2022,289,8,2730000,9.00,2022-03-22,Mobile devices with full browsers,Cross-network,Cross-network,GBP,303333,2.77%,341250,112.50%,26.01,341250,9446367,Cross-network,86.00
16334583574,Sales-Performance Max- 21feb2022,74,5,790000,0.00,2022-03-22,Computers,Cross-network,Cross-network,GBP,0,6.76%,158000,0.00%,0.00,158000,10675676,Cross-network,22.00
16334583574,Sales-Performance Max- 21feb2022,2361,14,5940000,2.00,2022-03-31,Computers,Cross-network,Cross-network,GBP,2970000,0.59%,424286,14.29%,23.71,424286,2515883,Cross-network,109.00
16334583574,Sales-Performance Max- 21feb2022,1514,15,9130000,0.00,2022-03-03,Computers,Cross-network,Cross-network,GBP,0,0.99%,608667,0.00%,0.00,608667,6030383,Cross-network,1.00
16334583574,Sales-Performance Max- 21feb2022,18,1,470000,0.00,2022-03-14,Tablets with full browsers,Cross-network,Cross-network,GBP,0,5.56%,470000,0.00%,0.00,470000,26111111,Cross-network,2.00
16485662623,Campaign for 341163 (Shopify - Luis),1155,11,4530000,0.00,2022-03-15,Mobile devices with full browsers,Cross-network,Cross-network,GBP,0,0.95%,411818,0.00%,0.00,411818,3922078,Cross-network,66.00
16334583574,Sales-Performance Max- 21feb2022,2398,29,9980000,3.00,2022-03-02,Mobile devices with full browsers,Cross-network,Cross-network,GBP,3326667,1.21%,344138,10.34%,2.25,344138,4161802,Cross-network,5.00
16334583574,Sales-Performance Max- 21feb2022,96,10,6110000,0.00,2022-03-08,Computers,Cross-network,Cross-network,GBP,0,10.42%,611000,0.00%,0.00,611000,63645833,Cross-network,40.00
16485662623,Campaign for 341163 (Shopify - Luis),775,5,2870000,0.00,2022-03-07,Mobile devices with full browsers,Cross-network,Cross-network,GBP,0,0.65%,574000,0.00%,0.00,574000,3703226,Cross-network,15.00
16334583574,Sales-Performance Max- 21feb2022,402,17,8620000,0.00,2022-03-18,Mobile devices with full browsers,Cross-network,Cross-network,GBP,0,4.23%,507059,0.00%,0.00,507059,21442786,Cross-network,64.00
