"CAMPAIGN_PERFORMANCE_REPORT (Apr 23, 2022-May 22, 2022)"
Campaign ID,Campaign,Campaign state,Impressions,Clicks,Cost,Conversions,Day,Device,Network,Top vs. Other,Currency,Cost / conv.,CTR,Avg. CPC,Conv. rate,Total conv. value,Avg. Cost,Avg. CPM,Network (with search partners)
16906402036,Brook Insurance RI and Southern Mass Search-April 2022,enabled,4,0,0,0.00,2022-04-30,Tablets with full browsers,Search Network,Google search: Top,USD,0,0.00%,0,0.00%,0.00,0,0,Google search
16906402036,Brook Insurance RI and Southern Mass Search-April 2022,enabled,2,0,0,0.00,2022-05-16,Tablets with full browsers,Search Network,Google search: Top,USD,0,0.00%,0,0.00%,0.00,0,0,Google search
16906402036,Brook Insurance RI and Southern Mass Search-April 2022,enabled,1,0,0,0.00,2022-05-17,Tablets with full browsers,Search Network,Google search: Top,USD,0,0.00%,0,0.00%,0.00,0,0,Google search
16906402036,Brook Insurance RI and Southern Mass Search-April 2022,enabled,11,0,0,0.00,2022-04-24,Mobile devices with full browsers,Search Network,Google search: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Google search
16906402036,Brook Insurance RI and Southern Mass Search-April 2022,enabled,23,1,3810000,0.00,2022-04-26,Mobile devices with full browsers,Search Network,Google search: Other,USD,0,4.35%,3810000,0.00%,0.00,3810000,165652174,Google search
16906402036,Brook Insurance RI and Southern Mass Search-April 2022,enabled,10,0,0,0.00,2022-05-19,Mobile devices with full browsers,Search Network,Google search: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Google search
16906402036,Brook Insurance RI and Southern Mass Search-April 2022,enabled,32,0,0,0.00,2022-04-25,Mobile devices with full browsers,Search Network,Google search: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Google search
16906402036,Brook Insurance RI and Southern Mass Search-April 2022,enabled,1,0,0,0.00,2022-05-20,Tablets with full browsers,Search Network,Google search: Top,USD,0,0.00%,0,0.00%,0.00,0,0,Google search
16906402036,Brook Insurance RI and Southern Mass Search-April 2022,enabled,3,0,0,0.00,2022-05-13,Mobile devices with full browsers,Search Network,Google search: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Google search
16906402036,Brook Insurance RI and Southern Mass Search-April 2022,enabled,7,1,3710000,0.00,2022-05-03,Computers,Search Network,Google search: Other,USD,0,14.29%,3710000,0.00%,0.00,3710000,530000000,Google search
16906402036,Brook Insurance RI and Southern Mass Search-April 2022,enabled,2,0,0,0.00,2022-05-01,Computers,Search Network,Google search: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Google search
16906402036,Brook Insurance RI and Southern Mass Search-April 2022,enabled,3,1,3900000,0.00,2022-05-11,Computers,Search Network,Google search: Top,USD,0,33.33%,3900000,0.00%,0.00,3900000,1300000000,Google search
16906402036,Brook Insurance RI and Southern Mass Search-April 2022,enabled,6,0,0,0.00,2022-05-03,Mobile devices with full browsers,Search Network,Google search: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Google search
16906402036,Brook Insurance RI and Southern Mass Search-April 2022,enabled,4,0,0,0.00,2022-04-28,Mobile devices with full browsers,Search Network,Google search: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Google search
16906402036,Brook Insurance RI and Southern Mass Search-April 2022,enabled,19,2,7720000,2.00,2022-05-03,Mobile devices with full browsers,Search Network,Google search: Top,USD,3860000,10.53%,3860000,100.00%,0.00,3860000,406315789,Google search
