"AD_PERFORMANCE_REPORT (Apr 1, 2022-Apr 30, 2022)"
Ad,Headline 1,Headline 2,Expanded Text Ad Headline 3,Display URL,Description,Description line 1,Description line 2,Ad type,Ad ID,Impressions,Clicks,Cost,Conversions,Responsive Search Ad headlines,Responsive Search Ad descriptions,Responsive Search Ad path 1,Responsive Search Ad path 2,Expanded Text Ad Description 2,Expanded Dynamic Search Ad Description 2,Final URL,Path 1,Path 2,Long headline,Headlines (multi asset responsive display),Long headline (multi asset responsive display),Descriptions (multi asset responsive display),CTR,Day
, --, --, --,, --,,,Shopping ad (goal-optimized),490562103776,10920,95,110084462,0.00, --, --, --, --, --, --, --, --, --, --, --, --, --,0.87%,2022-04-28
, --, --, --,, --,,,Responsive search ad,590097485687,301,5,12051736,0.00,"[{""assetText"":""{KeyWord:undermount kitchen sink}"",""assetId"":36092219094,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Fast Shipping | Secure Payment"",""assetId"":36092219085,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Undermount Kitchen Sinks"",""assetId"":36092219088,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""With Lifetime Warranty"",""assetId"":17913150578,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Buy Kitchen Sinks"",""assetId"":36092219100,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""ADA Compliant Sinks"",""assetId"":36090546369,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Starts @ $96 Only"",""assetId"":36092219097,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""100% American Company"",""assetId"":36092219091,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Reliable Top Quality Product"",""assetId"":36092219103,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""}]","[{""assetText"":""Kralsu.com Wholesale Kitchen and Bathroom Faucets, Sinks and Accessories"",""assetId"":17985336866,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Sinks and Accessories– KralSu Sink and Faucet Supplies"",""assetId"":35694740487,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Top Ways To Choose The Best Working Kitchen Designs"",""assetId"":35694740484,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""100% Money Back Guarantee"",""assetId"":17985336854,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""}]",undermount sink, --, --, --,"[""https://www.kralsu.com/collections/kitchen-sinks?_=pf&pf_t_installation=Installation%3A%20Undermount""]", --, --, --, --, --, --,1.66%,2022-04-19
, --, --, --,, --,,,Responsive search ad,590097485687,9,0,0,0.00,"[{""assetText"":""{KeyWord:undermount kitchen sink}"",""assetId"":36092219094,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Fast Shipping | Secure Payment"",""assetId"":36092219085,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Undermount Kitchen Sinks"",""assetId"":36092219088,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""With Lifetime Warranty"",""assetId"":17913150578,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Buy Kitchen Sinks"",""assetId"":36092219100,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""ADA Compliant Sinks"",""assetId"":36090546369,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Starts @ $96 Only"",""assetId"":36092219097,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""100% American Company"",""assetId"":36092219091,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Reliable Top Quality Product"",""assetId"":36092219103,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""}]","[{""assetText"":""Kralsu.com Wholesale Kitchen and Bathroom Faucets, Sinks and Accessories"",""assetId"":17985336866,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Sinks and Accessories– KralSu Sink and Faucet Supplies"",""assetId"":35694740487,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Top Ways To Choose The Best Working Kitchen Designs"",""assetId"":35694740484,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""100% Money Back Guarantee"",""assetId"":17985336854,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""}]",undermount sink, --, --, --,"[""https://www.kralsu.com/collections/kitchen-sinks?_=pf&pf_t_installation=Installation%3A%20Undermount""]", --, --, --, --, --, --,0.00%,2022-04-21
, --, --, --,, --,,,Shopping ad (goal-optimized),490562103776,8532,98,81286189,1.00, --, --, --, --, --, --, --, --, --, --, --, --, --,1.15%,2022-04-11
, --, --, --,, --,,,Responsive search ad,590097485687,484,11,16336695,0.00,"[{""assetText"":""{KeyWord:undermount kitchen sink}"",""assetId"":36092219094,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Fast Shipping | Secure Payment"",""assetId"":36092219085,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Undermount Kitchen Sinks"",""assetId"":36092219088,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""With Lifetime Warranty"",""assetId"":17913150578,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Buy Kitchen Sinks"",""assetId"":36092219100,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""ADA Compliant Sinks"",""assetId"":36090546369,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Starts @ $96 Only"",""assetId"":36092219097,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""100% American Company"",""assetId"":36092219091,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Reliable Top Quality Product"",""assetId"":36092219103,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""}]","[{""assetText"":""Kralsu.com Wholesale Kitchen and Bathroom Faucets, Sinks and Accessories"",""assetId"":17985336866,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Sinks and Accessories– KralSu Sink and Faucet Supplies"",""assetId"":35694740487,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Top Ways To Choose The Best Working Kitchen Designs"",""assetId"":35694740484,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""100% Money Back Guarantee"",""assetId"":17985336854,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""}]",undermount sink, --, --, --,"[""https://www.kralsu.com/collections/kitchen-sinks?_=pf&pf_t_installation=Installation%3A%20Undermount""]", --, --, --, --, --, --,2.27%,2022-04-13
, --, --, --,, --,,,Shopping ad (goal-optimized),490562103776,12111,107,121766675,1.00, --, --, --, --, --, --, --, --, --, --, --, --, --,0.88%,2022-04-04
, --, --, --,, --,,,Shopping ad (goal-optimized),490562103776,27192,236,148590955,0.00, --, --, --, --, --, --, --, --, --, --, --, --, --,0.87%,2022-04-09
, --, --, --,, --,,,Shopping ad (goal-optimized),490562103776,27440,383,254553574,1.00, --, --, --, --, --, --, --, --, --, --, --, --, --,1.40%,2022-04-13
, --, --, --,, --,,,Responsive search ad,590097485687,993,11,13066222,0.00,"[{""assetText"":""{KeyWord:undermount kitchen sink}"",""assetId"":36092219094,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Fast Shipping | Secure Payment"",""assetId"":36092219085,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Undermount Kitchen Sinks"",""assetId"":36092219088,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""With Lifetime Warranty"",""assetId"":17913150578,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Buy Kitchen Sinks"",""assetId"":36092219100,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""ADA Compliant Sinks"",""assetId"":36090546369,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Starts @ $96 Only"",""assetId"":36092219097,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""100% American Company"",""assetId"":36092219091,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Reliable Top Quality Product"",""assetId"":36092219103,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""}]","[{""assetText"":""Kralsu.com Wholesale Kitchen and Bathroom Faucets, Sinks and Accessories"",""assetId"":17985336866,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Sinks and Accessories– KralSu Sink and Faucet Supplies"",""assetId"":35694740487,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Top Ways To Choose The Best Working Kitchen Designs"",""assetId"":35694740484,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""100% Money Back Guarantee"",""assetId"":17985336854,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""}]",undermount sink, --, --, --,"[""https://www.kralsu.com/collections/kitchen-sinks?_=pf&pf_t_installation=Installation%3A%20Undermount""]", --, --, --, --, --, --,1.11%,2022-04-07
, --, --, --,, --,,,Responsive search ad,590097485687,323,7,29400000,0.00,"[{""assetText"":""{KeyWord:undermount kitchen sink}"",""assetId"":36092219094,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Fast Shipping | Secure Payment"",""assetId"":36092219085,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Undermount Kitchen Sinks"",""assetId"":36092219088,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""With Lifetime Warranty"",""assetId"":17913150578,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Buy Kitchen Sinks"",""assetId"":36092219100,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""ADA Compliant Sinks"",""assetId"":36090546369,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Starts @ $96 Only"",""assetId"":36092219097,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""100% American Company"",""assetId"":36092219091,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Reliable Top Quality Product"",""assetId"":36092219103,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""}]","[{""assetText"":""Kralsu.com Wholesale Kitchen and Bathroom Faucets, Sinks and Accessories"",""assetId"":17985336866,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Sinks and Accessories– KralSu Sink and Faucet Supplies"",""assetId"":35694740487,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Top Ways To Choose The Best Working Kitchen Designs"",""assetId"":35694740484,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""100% Money Back Guarantee"",""assetId"":17985336854,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""}]",undermount sink, --, --, --,"[""https://www.kralsu.com/collections/kitchen-sinks?_=pf&pf_t_installation=Installation%3A%20Undermount""]", --, --, --, --, --, --,2.17%,2022-04-18
